Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0011743,-0.0017657,0.058158,0,0,0,0.069447,3.8632E-05,-3.8242E-08,6.0052E-06,7.0918E-05,2.1747E-06,3.8367E-05,0,0,0,0,0,0,package://righthand/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/base_link.STL,,rightpalm-1,xyz1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
index_Link1,0.018514,0.00061106,4.4636E-07,0,0,0,0.0035872,1.4696E-07,4.2903E-09,6.6403E-12,4.7197E-07,2.8727E-12,3.6675E-07,0,0,0,0,0,0,package://righthand/meshes/index_Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/index_Link1.STL,,MP-1,xyz1index,righthand_indexMCP_row,index_MCP,revolute,-0.033581,-0.005,0.11001,0,-1.501,3.1416,base_link,0,0,-1,0,0,0,1.5,,,,,,,,
index_Link2,0.0082824,0.001941,1.3975E-07,0,0,0,0.0024824,1.1145E-07,9.1921E-09,-5.3492E-12,2.2237E-07,3.6346E-12,1.2725E-07,0,0,0,0,0,0,package://righthand/meshes/index_Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/index_Link2.STL,,PP-1,xyz2index,righthand_indexPIP_row,index_PIP,revolute,0.0415,0,0,0,0,0,index_Link1,0,0,-1,0,0,0,1.5,,,,,,,,
index_Link3,0.011297,0.00070376,-4.4927E-07,0,0,0,0.0025212,5.6812E-08,-5.236E-10,-2.6287E-12,1.3666E-07,-1.4298E-12,9.8943E-08,0,0,0,0,0,0,package://righthand/meshes/index_Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/index_Link3.STL,,DP-1,xyz3index,righthand_indexDIP_row,index_DIP,revolute,0.0245,0,0,0,0,0,index_Link2,0,0,-1,0,0,0,1.5,,,,,,,,
thumb_Link1,0.023451,-0.0065156,0.0070806,0,0,0,0.0072715,1.8289E-06,2.3147E-07,-5.1113E-07,1.7052E-06,4.1193E-07,1.1778E-06,0,0,0,0,0,0,package://righthand/meshes/thumb_Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/thumb_Link1.STL,,rightthumbMP-2,xyz1thumb,righthand_thumbCMC_yaw,thumb_CMC,revolute,-0.03,-0.005,0.031,0,0,3.1416,base_link,0,0,-1,0,0,-1,1.5,,,,,,,,
thumb_Link2,0.019578,-0.0022668,1.3031E-06,0,0,0,0.0050113,3.3647E-07,-1.4468E-08,7.2902E-11,6.6625E-07,-1.7315E-11,4.5206E-07,0,0,0,0,0,0,package://righthand/meshes/thumb_Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/thumb_Link2.STL,,thumbPP-1,xyz2thumb,righthand_thumbMP_pitch,thumb_MP,revolute,0.037554,-0.019018,0.029117,-0.83451,-0.96385,-0.83451,thumb_Link1,0,0,-1,0,0,-1,1,,,,,,,,
thumb_Link3,0.015427,-0.00030817,-4.6143E-05,0,0,0,0.0050618,1.7846E-07,-1.6544E-08,4.6905E-10,4.2916E-07,8.1325E-10,3.224E-07,0,0,0,0,0,0,package://righthand/meshes/thumb_Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/thumb_Link3.STL,,thumbDP-2,xyz3thumb,righthand_thumbIP_pitch,thumb_IP,revolute,0.04,0,0,0,0,0,thumb_Link2,0,0,-1,0,0,0,1,,,,,,,,
middle_Link1,0.018514,0.00061105,4.4528E-07,0,0,0,0.0035872,1.4696E-07,4.2903E-09,6.5316E-12,4.7197E-07,2.8791E-12,3.6675E-07,0,0,0,0,0,0,package://righthand/meshes/middle_Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/middle_Link1.STL,,MP-2,xyz1middle,righthand_middleMCP_row,middle_MCP,revolute,-0.012,-0.005,0.117,3.1416,-1.5708,0,base_link,0,0,-1,0,0,0,1.5,,,,,,,,
middle_Link2,0.0136573932918509,0.0019410306731998,1.18030455797946E-07,0,0,0,0.00248239401270383,1.11451692851494E-07,9.19230620221538E-09,-5.56653351329826E-12,2.2237306811259E-07,3.512429375325E-12,1.27244797912494E-07,0,0,0,0,0,0,package://righthand/meshes/middle_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://righthand/meshes/middle_Link2.STL,,PP-2,xyz2middle,righthand_middlePIP_row,middle_PIP,revolute,0.036125,0,0,0,0,0,middle_Link1,0,0,-1,0,0,0,1.5,,,,,,,,
middle_Link3,0.011297,0.00070372,-5.4465E-07,0,0,0,0.0025212,5.6814E-08,-5.241E-10,-3.4918E-12,1.3666E-07,-2.9849E-12,9.8944E-08,0,0,0,0,0,0,package://righthand/meshes/middle_Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/middle_Link3.STL,,DP-5,xyz3middle,righthand_middleDIP_row,middle_DIP,revolute,0.029875,0,0,0,0,0,middle_Link2,0,0,-1,0,0,0,1.5,,,,,,,,
ring_Link1,0.018514,0.00061104,4.4446E-07,0,0,0,0.0035872,1.4696E-07,4.2902E-09,6.4053E-12,4.7197E-07,2.8926E-12,3.6675E-07,0,0,0,0,0,0,package://righthand/meshes/ring_Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/ring_Link1.STL,,MP-3,xyz1ring,righthand_ringMCP_row,ring_MCP,revolute,0.0095815,-0.005,0.11001,3.1416,-1.501,0,base_link,0,0,-1,0,0,0,1.5,,,,,,,,
ring_Link2,0.0082825,0.0019411,1.0664E-07,0,0,0,0.0024824,1.1145E-07,9.1923E-09,-5.5182E-12,2.2237E-07,3.4602E-12,1.2724E-07,0,0,0,0,0,0,package://righthand/meshes/ring_Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/ring_Link2.STL,,PP-3,xyz2ring,righthand_ringPIP_row,ring_PIP,revolute,0.0415,0,0,0,0,0,ring_Link1,0,0,-1,0,0,0,1.5,,,,,,,,
ring_Link3,0.0112967435199336,0.000703604569502163,-8.33673973361926E-07,0,0,0,0.00252124790466744,5.68209456223496E-08,-5.25330083756457E-10,-5.04645663012207E-12,1.36664739823291E-07,-7.08359405126198E-12,9.89465469416527E-08,0,0,0,0,0,0,package://righthand/meshes/ring_Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://righthand/meshes/ring_Link3.STL,,DP-6,xyz3ring,righthand_ringDIP_row,ring_DIP,revolute,0.0245,0,0,0,0,0,ring_Link2,0,0,-1,0,0,0,1.5,,,,,,,,
little_Link1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://righthand/meshes/little_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://righthand/meshes/little_Link1.STL,,MP-4,xyz1little,righthand_littleMCP_row,little_MCP,revolute,0.031165,-0.005,0.10306,3.1416,-1.4312,0,base_link,0,0,-1,0,0,0,1.5,,,,,,,,
little_Link2,0.00828242852928934,0.00194103147061952,1.35476281522967E-07,0,0,0,0.00248240396817334,1.11452386228696E-07,9.19200834270386E-09,-5.19419136759416E-12,2.22372560226248E-07,3.61894136066E-12,1.27243751857134E-07,0,0,0,0,0,0,package://righthand/meshes/little_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://righthand/meshes/little_Link2.STL,,PP-4,xyz2little,righthand_littlePIP_row,little_PIP,revolute,0.0415,0,0,0,0,0,little_Link1,0,0,-1,0,0,0,1.5,,,,,,,,
little_Link3,0.011297,0.00070363,-7.8629E-07,0,0,0,0.0025212,5.682E-08,-5.2511E-10,-5.2641E-12,1.3666E-07,-6.3471E-12,9.8946E-08,0,0,0,0,0,0,package://righthand/meshes/little_Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://righthand/meshes/little_Link3.STL,,DP-7,xyz3little,righthand_littleDIP_row,little_DIP,revolute,0.0245,0,0,0,0,0,little_Link2,0,0,-1,0,0,0,1.5,,,,,,,,
